Typical Measured Spectrum of Semrock NF01-532U Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
301.8	0.05431
302	0.05755
302.2	0.06035
302.4	0.06473
302.6	0.06826
302.8	0.07355
303	0.07689
303.2	0.08047
303.4	0.08347
303.6	0.08674
303.8	0.09055
304	0.09288
304.2	0.09734
304.4	0.10167
304.6	0.10779
304.8	0.11426
305	0.11915
305.2	0.12284
305.4	0.12734
305.6	0.13074
305.8	0.13528
306	0.14021
306.2	0.14486
306.4	0.15185
306.6	0.15417
306.8	0.15388
307	0.16001
307.2	0.16449
307.4	0.16656
307.6	0.17264
307.8	0.17829
308	0.17953
308.2	0.18824
308.4	0.19281
308.6	0.19033
308.8	0.19427
309	0.20197
309.2	0.203
309.4	0.20734
309.6	0.21392
309.8	0.21424
310	0.22129
310.2	0.23346
310.4	0.23333
310.6	0.23321
310.8	0.24092
311	0.24092
311.2	0.2397
311.4	0.24717
311.6	0.25003
311.8	0.25181
312	0.26205
312.2	0.26491
312.4	0.25657
312.6	0.2631
312.8	0.27228
313	0.27434
313.2	0.27942
313.4	0.2884
313.6	0.28949
313.8	0.29244
314	0.30506
314.2	0.29603
314.4	0.28573
314.6	0.29516
314.8	0.30124
315	0.29617
315.2	0.30553
315.4	0.31392
315.6	0.3063
315.8	0.31099
316	0.32466
316.2	0.31665
316.4	0.30661
316.6	0.32389
316.8	0.33278
317	0.31899
317.2	0.3245
317.4	0.34317
317.6	0.33688
317.8	0.32625
318	0.34403
318.2	0.34334
318.4	0.32224
318.6	0.33012
318.8	0.35406
319	0.34469
319.2	0.33839
319.4	0.35893
319.6	0.36426
319.8	0.3478
320	0.35295
320.2	0.37362
320.4	0.36756
320.6	0.35641
320.8	0.36762
321	0.36702
321.2	0.35612
321.4	0.37078
321.6	0.38801
321.8	0.37051
322	0.36005
322.2	0.38524
322.4	0.39054
322.6	0.36796
322.8	0.37377
323	0.39684
323.2	0.37453
323.4	0.35269
323.6	0.38433
323.8	0.40726
324	0.36592
324.2	0.35015
324.4	0.3933
324.6	0.39968
324.8	0.35555
325	0.36086
325.2	0.40422
325.4	0.37976
325.6	0.33201
325.8	0.36168
326	0.41312
326.2	0.37624
326.4	0.34043
326.6	0.3905
326.8	0.42433
327	0.35717
327.2	0.32248
327.4	0.3867
327.6	0.42921
327.8	0.35604
328	0.33046
328.2	0.40629
328.4	0.43544
328.6	0.36527
328.8	0.35728
329	0.43346
329.2	0.42902
329.4	0.34617
329.6	0.3505
329.8	0.43978
330	0.4282
330.2	0.34565
330.4	0.35545
330.6	0.44948
330.8	0.45193
331	0.38176
331.2	0.40262
331.4	0.47638
331.6	0.43606
331.8	0.37174
332	0.41172
332.2	0.48127
332.4	0.4219
332.6	0.35329
332.8	0.40158
333	0.48913
333.2	0.44144
333.4	0.37729
333.6	0.42331
333.8	0.49656
334	0.44185
334.2	0.38375
334.4	0.4434
334.6	0.50942
334.8	0.44318
335	0.38765
335.2	0.45024
335.4	0.51596
335.6	0.44728
335.8	0.39161
336	0.45609
336.2	0.52338
336.4	0.45903
336.6	0.4105
336.8	0.46305
337	0.53199
337.2	0.48602
337.4	0.41308
337.6	0.45545
337.8	0.54251
338	0.50333
338.2	0.43807
338.4	0.48595
338.6	0.55413
338.8	0.48173
339	0.41338
339.2	0.47121
339.4	0.55165
339.6	0.48523
339.8	0.41485
340	0.46823
340.2	0.5664
340.4	0.52508
340.6	0.47099
340.8	0.52806
341	0.57785
341.2	0.50747
341.4	0.47054
341.6	0.54286
341.8	0.57206
342	0.49036
342.2	0.48395
342.4	0.5678
342.6	0.51172
342.8	0.38324
343	0.38065
343.2	0.49241
343.4	0.49391
343.6	0.39973
343.8	0.42526
344	0.52875
344.2	0.44305
344.4	0.33826
344.6	0.40093
344.8	0.51319
345	0.4038
345.2	0.31191
345.4	0.41353
345.6	0.46211
345.8	0.27967
346	0.21115
346.2	0.34419
346.4	0.42532
346.6	0.25289
346.8	0.20818
347	0.2508
347.2	0.43093
347.4	0.28915
347.6	0.15508
347.8	0.22527
348	0.39178
348.2	0.22802
348.4	0.13121
348.6	0.23269
348.8	0.35331
349	0.20637
349.2	0.20023
349.4	0.34942
349.6	0.22206
349.8	0.12639
350	0.23317
350.2	0.27736
350.4	0.13977
350.6	0.16562
350.8	0.25645
351	0.15374
351.2	0.16235
351.4	0.27303
351.6	0.17313
351.8	0.19288
352	0.25641
352.2	0.14369
352.4	0.15113
352.6	0.14102
352.8	0.15394
353	0.19002
353.2	0.07333
353.4	0.04537
353.6	0.00795
353.8	0.004
354	0.00241
354.2	0.00197
354.4	0.00183
354.6	0.00159
354.8	0.00147
355	0.00136
355.2	0.00114
355.4	0.00109
355.6	0.00103
355.8	0.0008645
356	0.00084552
356.2	0.00086973
356.4	0.00082753
356.6	0.00078936
356.8	0.00073276
357	0.00070577
357.2	0.00070725
357.4	0.00064194
357.6	0.00069119
357.8	0.00062166
358	0.00062636
358.2	0.00058109
358.4	0.00059327
358.6	0.00055379
358.8	0.00057308
359	0.0005744
359.2	0.00056204
359.4	0.000542
359.6	0.00050352
359.8	0.00046742
360	0.00051589
360.2	0.00049864
360.4	0.00051466
360.6	0.00050063
360.8	0.00047648
361	0.00050707
361.2	0.000488
361.4	0.00043066
361.6	0.00037971
361.8	0.00040502
362	0.00041157
362.2	0.00040109
362.4	0.00037848
362.6	0.00035477
362.8	0.00037253
363	0.00034353
363.2	0.00035052
363.4	0.00033257
363.6	0.00040464
363.8	0.00036453
364	0.000402
364.2	0.00042564
364.4	0.00042503
364.6	0.000464
364.8	0.00045041
365	0.00045033
365.2	0.00042694
365.4	0.00049276
365.6	0.00044823
365.8	0.0003655
366	0.00043472
366.2	0.00038609
366.4	0.00042934
366.6	0.00040793
366.8	0.00135
367	0.00227
367.2	0.00232
367.4	0.00232
367.6	0.00239
367.8	0.00241
368	0.00247
368.2	0.00242
368.4	0.00243
368.6	0.00252
368.8	0.00245
369	0.00249
369.2	0.00249
369.4	0.00253
369.6	0.00249
369.8	0.00251
370	0.00254
370.2	0.00254
370.4	0.00258
370.6	0.00265
370.8	0.00265
371	0.00269
371.2	0.00266
371.4	0.00278
371.6	0.00268
371.8	0.0027
372	0.00266
372.2	0.00278
372.4	0.00268
372.6	0.00281
372.8	0.00271
373	0.00287
373.2	0.00282
373.4	0.00285
373.6	0.00287
373.8	0.00291
374	0.00289
374.2	0.00294
374.4	0.00295
374.6	0.00297
374.8	0.00293
375	0.00297
375.2	0.003
375.4	0.00301
375.6	0.003
375.8	0.00293
376	0.00299
376.2	0.00297
376.4	0.00302
376.6	0.00296
376.8	0.00307
377	0.00305
377.2	0.00305
377.4	0.00311
377.6	0.003
377.8	0.00308
378	0.00307
378.2	0.00304
378.4	0.00308
378.6	0.00312
378.8	0.00302
379	0.00308
379.2	0.00311
379.4	0.00312
379.6	0.00304
379.8	0.00313
380	0.00316
380.2	0.00315
380.4	0.00312
380.6	0.00315
380.8	0.00319
381	0.00317
381.2	0.00325
381.4	0.00324
381.6	0.00335
381.8	0.00341
382	0.00494
382.2	0.00657
382.4	0.0212
382.6	0.04115
382.8	0.06162
383	0.10506
383.2	0.03321
383.4	0.05272
383.6	0.2709
383.8	0.24176
384	0.20701
384.2	0.33396
384.4	0.29792
384.6	0.25656
384.8	0.33597
385	0.42006
385.2	0.36237
385.4	0.28368
385.6	0.29264
385.8	0.40043
386	0.46755
386.2	0.39131
386.4	0.3645
386.6	0.46768
386.8	0.45552
387	0.54124
387.2	0.42701
387.4	0.34725
387.6	0.4188
387.8	0.54967
388	0.45878
388.2	0.30622
388.4	0.27835
388.6	0.39654
388.8	0.62413
389	0.57977
389.2	0.39351
389.4	0.36237
389.6	0.50716
389.8	0.69148
390	0.58661
390.2	0.3936
390.4	0.3564
390.6	0.47882
390.8	0.69598
391	0.64048
391.2	0.41382
391.4	0.35595
391.6	0.447
391.8	0.68377
392	0.77712
392.2	0.59092
392.4	0.45204
392.6	0.46347
392.8	0.62101
393	0.82283
393.2	0.74897
393.4	0.53588
393.6	0.44316
393.8	0.48198
394	0.63753
394.2	0.84113
394.4	0.83527
394.6	0.67406
394.8	0.58539
395	0.61634
395.2	0.7496
395.4	0.89898
395.6	0.89236
395.8	0.80947
396	0.77117
396.2	0.81602
396.4	0.89515
396.6	0.9283
396.8	0.88872
397	0.83615
397.2	0.82697
397.4	0.86733
397.6	0.92342
397.8	0.9461
398	0.92864
398.2	0.90507
398.4	0.90055
398.6	0.91892
398.8	0.9371
399	0.94242
399.2	0.9349
399.4	0.93057
399.6	0.92916
399.8	0.93079
400	0.92616
400.2	0.9161
400.4	0.91053
400.6	0.9181
400.8	0.9334
401	0.94547
401.2	0.94405
401.4	0.93682
401.6	0.93496
401.8	0.9432
402	0.95435
402.2	0.95913
402.4	0.9527
402.6	0.93729
402.8	0.93084
403	0.94082
403.2	0.95585
403.4	0.96098
403.6	0.94813
403.8	0.92808
404	0.91666
404.2	0.92212
404.4	0.9425
404.6	0.95939
404.8	0.96031
405	0.94674
405.2	0.93056
405.4	0.92828
405.6	0.93993
405.8	0.95743
406	0.96526
406.2	0.95509
406.4	0.93809
406.6	0.92805
406.8	0.93309
407	0.95111
407.2	0.96423
407.4	0.96286
407.6	0.94897
407.8	0.93604
408	0.9347
408.2	0.94692
408.4	0.9637
408.6	0.96729
408.8	0.95823
409	0.94341
409.2	0.93474
409.4	0.94113
409.6	0.95509
409.8	0.96815
410	0.9642
410.2	0.94804
410.4	0.93289
410.6	0.92852
410.8	0.93846
411	0.95424
411.2	0.96289
411.4	0.95631
411.6	0.94066
411.8	0.92574
412	0.92512
412.2	0.93792
412.4	0.95717
412.6	0.96764
412.8	0.96279
413	0.95084
413.2	0.93763
413.4	0.93675
413.6	0.94836
413.8	0.96177
414	0.96542
414.2	0.95274
414.4	0.935
414.6	0.92226
414.8	0.92516
415	0.93908
415.2	0.95439
415.4	0.95555
415.6	0.94012
415.8	0.91845
416	0.90326
416.2	0.90378
416.4	0.92125
416.6	0.94615
416.8	0.96365
417	0.96499
417.2	0.95071
417.4	0.93521
417.6	0.93074
417.8	0.93844
418	0.95293
418.2	0.96391
418.4	0.96083
418.6	0.94593
418.8	0.92815
419	0.91949
419.2	0.92471
419.4	0.94119
419.6	0.95397
419.8	0.95617
420	0.93993
420.2	0.91966
420.4	0.90541
420.6	0.90468
420.8	0.92007
421	0.94131
421.2	0.95566
421.4	0.95664
421.6	0.94473
421.8	0.93035
422	0.92303
422.2	0.92679
422.4	0.93952
422.6	0.95355
422.8	0.9552
423	0.94666
423.2	0.93303
423.4	0.921
423.6	0.9199
423.8	0.92826
424	0.94135
424.2	0.95144
424.4	0.95351
424.6	0.94662
424.8	0.93338
425	0.92334
425.2	0.91941
425.4	0.92307
425.6	0.93001
425.8	0.9348
426	0.93311
426.2	0.9308
426.4	0.93005
426.6	0.93249
426.8	0.9386
427	0.94626
427.2	0.94982
427.4	0.94755
427.6	0.9422
427.8	0.93746
428	0.93828
428.2	0.94466
428.4	0.95464
428.6	0.96111
428.8	0.9605
429	0.95338
429.2	0.94517
429.4	0.93962
429.6	0.94327
429.8	0.95199
430	0.96275
430.2	0.97002
430.4	0.96756
430.6	0.9581
430.8	0.94742
431	0.94154
431.2	0.94414
431.4	0.95467
431.6	0.96637
431.8	0.97228
432	0.96931
432.2	0.9564
432.4	0.94304
432.6	0.93396
432.8	0.93761
433	0.95057
433.2	0.96482
433.4	0.97288
433.6	0.97187
433.8	0.96024
434	0.94925
434.2	0.94329
434.4	0.94531
434.6	0.95594
434.8	0.96899
435	0.97764
435.2	0.97583
435.4	0.96565
435.6	0.9535
435.8	0.94498
436	0.94703
436.2	0.95701
436.4	0.97071
436.6	0.98017
436.8	0.97886
437	0.96481
437.2	0.94899
437.4	0.93582
437.6	0.93477
437.8	0.94386
438	0.9606
438.2	0.97561
438.4	0.98191
438.6	0.97621
438.8	0.96298
439	0.95119
439.2	0.94801
439.4	0.95339
439.6	0.96749
439.8	0.97747
440	0.98304
440.2	0.97754
440.4	0.96542
440.6	0.95274
440.8	0.94733
441	0.94965
441.2	0.96367
441.4	0.97696
441.6	0.98432
441.8	0.97877
442	0.96499
442.2	0.94735
442.4	0.93602
442.6	0.93511
442.8	0.94637
443	0.96364
443.2	0.97841
443.4	0.98375
443.6	0.97582
443.8	0.95953
444	0.94068
444.2	0.93268
444.4	0.93856
444.6	0.95375
444.8	0.97216
445	0.98215
445.2	0.98115
445.4	0.96839
445.6	0.95145
445.8	0.93589
446	0.93366
446.2	0.94166
446.4	0.95874
446.6	0.97569
446.8	0.9844
447	0.97993
447.2	0.96352
447.4	0.94499
447.6	0.93176
447.8	0.93087
448	0.94253
448.2	0.96103
448.4	0.97906
448.6	0.98474
448.8	0.97672
449	0.95795
449.2	0.93892
449.4	0.92729
449.6	0.928
449.8	0.94528
450	0.96513
450.2	0.9815
450.4	0.98496
450.6	0.97435
450.8	0.95388
451	0.93438
451.2	0.92639
451.4	0.92814
451.6	0.942
451.8	0.96344
452	0.98019
452.2	0.98445
452.4	0.97521
452.6	0.95582
452.8	0.93494
453	0.92207
453.2	0.92245
453.4	0.93494
453.6	0.95477
453.8	0.97328
454	0.98338
454.2	0.97988
454.4	0.96449
454.6	0.94565
454.8	0.93171
455	0.92959
455.2	0.93834
455.4	0.95503
455.6	0.97713
455.8	0.98573
456	0.98288
456.2	0.96762
456.4	0.95119
456.6	0.93754
456.8	0.93393
457	0.94231
457.2	0.95676
457.4	0.97418
457.6	0.98399
457.8	0.98305
458	0.97231
458.2	0.95626
458.4	0.94227
458.6	0.93534
458.8	0.93975
459	0.95097
459.2	0.96766
459.4	0.97975
459.6	0.98283
459.8	0.97563
460	0.96124
460.2	0.94953
460.4	0.9427
460.6	0.9445
460.8	0.95505
461	0.96979
461.2	0.98337
461.4	0.9848
461.6	0.97655
461.8	0.96086
462	0.94422
462.2	0.9335
462.4	0.93198
462.6	0.94034
462.8	0.95464
463	0.97071
463.2	0.98
463.4	0.98005
463.6	0.97002
463.8	0.95559
464	0.9417
464.2	0.93481
464.4	0.93765
464.6	0.94908
464.8	0.96459
465	0.97605
465.2	0.98255
465.4	0.9789
465.6	0.96926
465.8	0.9574
466	0.94793
466.2	0.94622
466.4	0.95183
466.6	0.96397
466.8	0.97558
467	0.9836
467.2	0.98154
467.4	0.97079
467.6	0.95629
467.8	0.94391
468	0.93873
468.2	0.9415
468.4	0.95248
468.6	0.96665
468.8	0.97917
469	0.9846
469.2	0.98082
469.4	0.96913
469.6	0.95507
469.8	0.94356
470	0.93826
470.2	0.94225
470.4	0.95327
470.6	0.96633
470.8	0.97877
471	0.98367
471.2	0.9806
471.4	0.96999
471.6	0.95772
471.8	0.94952
472	0.94718
472.2	0.95304
472.4	0.96304
