Typical Measured Spectrum of Semrock NF03-785E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0	0.08285
345.2	0.16082
345.4	0.34326
345.6	0.46158
345.8	0.50479
346.0	0.53054
346.2	0.54876
346.4	0.56914
346.6	0.57985
346.8	0.58397
347.0	0.58908
347.2	0.58657
347.4	0.60718
347.6	0.61415
347.8	0.63341
348.0	0.64385
348.2	0.64471
348.4	0.64838
348.6	0.65855
348.8	0.66942
349.0	0.68284
349.2	0.6935
349.4	0.70337
349.6	0.69912
349.8	0.70067
350.0	0.69637
350.2	0.69256
350.4	0.69813
350.6	0.70397
350.8	0.71353
351.0	0.71319
351.2	0.71841
351.4	0.72594
351.6	0.7199
351.8	0.71921
352.0	0.71576
352.2	0.71888
352.4	0.72279
352.6	0.73172
352.8	0.74177
353.0	0.74642
353.2	0.74505
353.4	0.74802
353.6	0.74881
353.8	0.74669
354.0	0.74904
354.2	0.75032
354.4	0.75711
354.6	0.76073
354.8	0.76171
355.0	0.76829
355.2	0.77043
355.4	0.76628
355.6	0.76809
355.8	0.77199
356.0	0.7709
356.2	0.77244
356.4	0.78052
356.6	0.78588
356.8	0.78803
357.0	0.79089
357.2	0.79384
357.4	0.79253
357.6	0.79296
357.8	0.78831
358.0	0.78392
358.2	0.79031
358.4	0.79325
358.6	0.795
358.8	0.80355
359.0	0.81429
359.2	0.81822
359.4	0.82014
359.6	0.82158
359.8	0.8213
360.0	0.81344
360.2	0.81013
360.4	0.81053
360.6	0.81104
360.8	0.80902
361.0	0.81465
361.2	0.8242
361.4	0.82622
361.6	0.82872
361.8	0.83311
362.0	0.83531
362.2	0.83199
362.4	0.82921
362.6	0.83216
362.8	0.82979
363.0	0.82411
363.2	0.82887
363.4	0.83387
363.6	0.83495
363.8	0.83591
364.0	0.84228
364.2	0.84838
364.4	0.84719
364.6	0.84574
364.8	0.8485
365.0	0.84908
365.2	0.84745
365.4	0.85111
365.6	0.85441
365.8	0.85471
366.0	0.85692
366.2	0.86164
366.4	0.86595
366.6	0.86398
366.8	0.86093
367.0	0.8642
367.2	0.86016
367.4	0.85381
367.6	0.85045
367.8	0.85189
368.0	0.85246
368.2	0.85362
368.4	0.85073
368.6	0.85967
368.8	0.86434
369.0	0.86366
369.2	0.86337
369.4	0.86518
369.6	0.87043
369.8	0.87162
370.0	0.86403
370.2	0.86284
370.4	0.86788
370.6	0.87114
370.8	0.8694
371.0	0.86749
371.2	0.8715
371.4	0.87806
371.6	0.8838
371.8	0.88296
372.0	0.88303
372.2	0.88957
372.4	0.89059
372.6	0.88875
372.8	0.88252
373.0	0.8814
373.2	0.88451
373.4	0.88279
373.6	0.87694
373.8	0.87706
374.0	0.88287
374.2	0.88937
374.4	0.89121
374.6	0.89155
374.8	0.89446
375.0	0.90023
375.2	0.90482
375.4	0.89871
375.6	0.88975
375.8	0.88668
376.0	0.89055
376.2	0.88933
376.4	0.88452
376.6	0.87828
376.8	0.87886
377.0	0.88724
377.2	0.89146
377.4	0.89278
377.6	0.89414
377.8	0.9007
378.0	0.9079
378.2	0.9104
378.4	0.9062
378.6	0.90166
378.8	0.9007
379.0	0.90205
379.2	0.89944
379.4	0.89207
379.6	0.88575
379.8	0.88871
380.0	0.89565
380.2	0.89954
380.4	0.89722
380.6	0.8957
380.8	0.89995
381.0	0.91129
381.2	0.91602
381.4	0.91303
381.6	0.90671
381.8	0.90647
382.0	0.90554
382.2	0.90592
382.4	0.90444
382.6	0.89841
382.8	0.89412
383.0	0.89543
383.2	0.90054
383.4	0.89832
383.6	0.89633
383.8	0.89839
384.0	0.9051
384.2	0.91347
384.4	0.91496
384.6	0.91735
384.8	0.91581
385.0	0.91967
385.2	0.92161
385.4	0.92077
385.6	0.91309
385.8	0.90653
386.0	0.90374
386.2	0.90608
386.4	0.90606
386.6	0.90294
386.8	0.89936
387.0	0.90031
387.2	0.90776
387.4	0.91498
387.6	0.92046
387.8	0.91713
388.0	0.91775
388.2	0.92035
388.4	0.92711
388.6	0.92921
388.8	0.92496
389.0	0.91945
389.2	0.91695
389.4	0.91686
389.6	0.92054
389.8	0.91769
390.0	0.91078
390.2	0.90373
390.4	0.90492
390.6	0.91261
390.8	0.91826
391.0	0.91974
391.2	0.91687
391.4	0.91402
391.6	0.91855
391.8	0.92564
392.0	0.92624
392.2	0.92833
392.4	0.92878
392.6	0.92231
392.8	0.91595
393.0	0.91794
393.2	0.91999
393.4	0.91951
393.6	0.91734
393.8	0.91011
394.0	0.90937
394.2	0.91295
394.4	0.92067
394.6	0.92274
394.8	0.92171
395.0	0.92229
395.2	0.92416
395.4	0.93075
395.6	0.93787
395.8	0.93834
396.0	0.93342
396.2	0.92808
396.4	0.92852
396.6	0.93206
396.8	0.93679
397.0	0.93321
397.2	0.92781
397.4	0.9212
397.6	0.91706
397.8	0.92183
398.0	0.92601
398.2	0.92817
398.4	0.92506
398.6	0.92045
398.8	0.92485
399.0	0.93241
399.2	0.93878
399.4	0.94048
399.6	0.9379
399.8	0.93384
400.0	0.93408
400.2	0.93519
400.4	0.93759
400.6	0.93252
400.8	0.92754
401.0	0.91955
401.2	0.91568
401.4	0.92046
401.6	0.92498
401.8	0.9299
402.0	0.92821
402.2	0.92495
402.4	0.92332
402.6	0.92782
402.8	0.93634
403.0	0.94522
403.2	0.94678
403.4	0.94567
403.6	0.94186
403.8	0.94145
404.0	0.94318
404.2	0.94764
404.4	0.94607
404.6	0.9382
404.8	0.93127
405.0	0.92569
405.2	0.92521
405.4	0.92736
405.6	0.93077
405.8	0.92992
406.0	0.92867
406.2	0.92597
406.4	0.92941
406.6	0.93615
406.8	0.94455
407.0	0.94769
407.2	0.94561
407.4	0.94152
407.6	0.94044
407.8	0.94031
408.0	0.94546
408.2	0.94931
408.4	0.94643
408.6	0.93919
408.8	0.93391
409.0	0.92975
409.2	0.93104
409.4	0.93569
409.6	0.93398
409.8	0.9292
410.0	0.92257
410.2	0.91859
410.4	0.92124
410.6	0.93029
410.8	0.9405
411.0	0.94623
411.2	0.94622
411.4	0.94276
411.6	0.94173
411.8	0.94177
412.0	0.94631
412.2	0.95071
412.4	0.94864
412.6	0.9432
412.8	0.93716
413.0	0.93416
413.2	0.93559
413.4	0.9391
413.6	0.94052
413.8	0.93693
414.0	0.93111
414.2	0.9261
414.4	0.92464
414.6	0.92819
414.8	0.93778
415.0	0.94429
415.2	0.94537
415.4	0.94222
415.6	0.93923
415.8	0.93966
416.0	0.94405
416.2	0.95067
416.4	0.95742
416.6	0.95764
416.8	0.95149
417.0	0.94581
417.2	0.94124
417.4	0.9409
417.6	0.94031
417.8	0.94293
418.0	0.94023
418.2	0.93564
418.4	0.93234
418.6	0.93183
418.8	0.93245
419.0	0.93784
419.2	0.94212
419.4	0.94183
419.6	0.93969
419.8	0.93752
420.0	0.94006
420.2	0.9439
420.4	0.95133
420.6	0.95549
420.8	0.95664
421.0	0.9529
421.2	0.94558
421.4	0.9428
421.6	0.94256
421.8	0.9453
422.0	0.94668
422.2	0.94629
422.4	0.94331
422.6	0.93753
422.8	0.93423
423.0	0.93303
423.2	0.93617
423.4	0.94089
423.6	0.9455
423.8	0.9445
424.0	0.94326
424.2	0.9417
424.4	0.94372
424.6	0.94676
424.8	0.95401
425.0	0.95864
425.2	0.95984
425.4	0.95715
425.6	0.95313
425.8	0.94976
426.0	0.94946
426.2	0.95104
426.4	0.95258
426.6	0.95172
426.8	0.94634
427.0	0.93971
427.2	0.9333
427.4	0.92964
427.6	0.93149
427.8	0.93551
428.0	0.93892
428.2	0.9397
428.4	0.93969
428.6	0.93665
428.8	0.93624
429.0	0.93825
429.2	0.94318
429.4	0.95266
429.6	0.95906
429.8	0.96098
430.0	0.95929
430.2	0.95654
430.4	0.95439
430.6	0.9535
430.8	0.95691
431.0	0.96029
431.2	0.96096
431.4	0.95729
431.6	0.95087
431.8	0.94513
432.0	0.94064
432.2	0.94086
432.4	0.94382
432.6	0.94703
432.8	0.9481
433.0	0.94652
433.2	0.94111
433.4	0.93731
433.6	0.93757
433.8	0.94093
434.0	0.94752
434.2	0.95639
434.4	0.9601
434.6	0.96075
434.8	0.9569
435.0	0.95232
435.2	0.95028
435.4	0.95119
435.6	0.95491
435.8	0.958
436.0	0.95924
436.2	0.95808
436.4	0.95082
436.6	0.94462
436.8	0.94143
437.0	0.93977
437.2	0.94102
437.4	0.94426
437.6	0.94488
437.8	0.94417
438.0	0.93893
438.2	0.9362
438.4	0.93412
438.6	0.93678
438.8	0.94099
439.0	0.94661
439.2	0.95177
439.4	0.95425
439.6	0.9558
439.8	0.95488
440.0	0.95563
440.2	0.95785
440.4	0.96191
440.6	0.96478
440.8	0.96521
441.0	0.96375
441.2	0.95819
441.4	0.95285
441.6	0.94775
441.8	0.94596
442.0	0.9482
442.2	0.95231
442.4	0.95431
442.6	0.95288
442.8	0.94888
443.0	0.94337
443.2	0.93738
443.4	0.93468
443.6	0.93767
443.8	0.94228
444.0	0.9482
444.2	0.95361
444.4	0.95573
444.6	0.95435
444.8	0.95254
445.0	0.95117
445.2	0.95288
445.4	0.95731
445.6	0.96259
445.8	0.96665
446.0	0.96646
446.2	0.96276
446.4	0.95757
446.6	0.95129
446.8	0.94636
447.0	0.94613
447.2	0.94863
447.4	0.95072
447.6	0.94984
447.8	0.9494
448.0	0.94424
448.2	0.94045
448.4	0.93737
448.6	0.93799
448.8	0.93933
449.0	0.94502
449.2	0.94936
449.4	0.95148
449.6	0.95072
449.8	0.94795
450.0	0.94638
450.2	0.94491
450.4	0.94791
450.6	0.95237
450.8	0.95896
451.0	0.96475
451.2	0.9668
451.4	0.96454
451.6	0.96204
451.8	0.9566
452.0	0.95404
452.2	0.95392
452.4	0.95515
452.6	0.95676
452.8	0.95682
453.0	0.95592
453.2	0.95001
453.4	0.94699
453.6	0.94199
453.8	0.94014
454.0	0.94084
454.2	0.94332
454.4	0.94736
454.6	0.95039
454.8	0.9521
455.0	0.95119
455.2	0.94964
455.4	0.94809
455.6	0.94882
455.8	0.953
456.0	0.95818
456.2	0.96357
456.4	0.9658
456.6	0.96751
456.8	0.96513
457.0	0.9616
457.2	0.95865
457.4	0.95544
457.6	0.95721
457.8	0.95865
458.0	0.96186
458.2	0.96234
458.4	0.96064
458.6	0.95616
458.8	0.95022
459.0	0.94505
459.2	0.94178
459.4	0.9407
459.6	0.94211
459.8	0.94471
460.0	0.94591
460.2	0.94599
460.4	0.94482
460.6	0.94148
460.8	0.93844
461.0	0.9351
461.2	0.93613
461.4	0.94016
461.6	0.94459
461.8	0.9495
462.0	0.95262
462.2	0.95438
462.4	0.95592
462.6	0.95512
462.8	0.9561
463.0	0.95889
463.2	0.96099
463.4	0.96456
463.6	0.96581
463.8	0.96451
464.0	0.96211
464.2	0.95698
464.4	0.95192
464.6	0.94727
464.8	0.94459
465.0	0.94581
465.2	0.94772
465.4	0.95257
465.6	0.95635
465.8	0.95643
466.0	0.95642
466.2	0.95362
466.4	0.95188
466.6	0.95138
466.8	0.95268
467.0	0.95632
467.2	0.96107
467.4	0.96478
467.6	0.96791
467.8	0.96735
468.0	0.96677
468.2	0.96459
468.4	0.96122
468.6	0.95809
468.8	0.95775
469.0	0.9597
469.2	0.9619
469.4	0.96361
469.6	0.96508
469.8	0.96325
470.0	0.95923
470.2	0.95506
470.4	0.94921
470.6	0.94654
470.8	0.94639
471.0	0.94604
471.2	0.94904
471.4	0.95111
471.6	0.95247
471.8	0.95314
472.0	0.95178
472.2	0.94966
472.4	0.94986
472.6	0.94867
472.8	0.95135
473.0	0.95546
473.2	0.9591
473.4	0.96238
473.6	0.96483
473.8	0.96425
474.0	0.96248
474.2	0.9615
474.4	0.95954
474.6	0.96036
474.8	0.96262
475.0	0.96551
475.2	0.96872
475.4	0.97072
475.6	0.97016
475.8	0.96805
476.0	0.96315
476.2	0.95957
476.4	0.95617
476.6	0.9544
476.8	0.95426
477.0	0.95534
477.2	0.95807
477.4	0.95823
477.6	0.95653
477.8	0.95459
478.0	0.95033
478.2	0.94599
478.4	0.94422
478.6	0.9432
478.8	0.94522
479.0	0.9498
479.2	0.95481
479.4	0.95932
479.6	0.96242
479.8	0.9632
480.0	0.96173
480.2	0.95901
480.4	0.95735
480.6	0.95593
480.8	0.95657
481.0	0.95964
481.2	0.96316
481.4	0.96638
481.6	0.9692
481.8	0.96868
482.0	0.9666
482.2	0.96193
482.4	0.95692
482.6	0.9533
482.8	0.95122
483.0	0.95102
483.2	0.9526
483.4	0.95477
483.6	0.95622
483.8	0.95631
484.0	0.95473
484.2	0.95188
484.4	0.94717
484.6	0.94531
484.8	0.94449
485.0	0.94602
485.2	0.94948
485.4	0.95424
485.6	0.95892
485.8	0.96177
486.0	0.96478
486.2	0.96377
486.4	0.96151
486.6	0.95898
486.8	0.95665
487.0	0.95635
487.2	0.95793
487.4	0.96102
487.6	0.96525
487.8	0.96892
488.0	0.97107
488.2	0.97109
488.4	0.96851
488.6	0.96459
488.8	0.9605
489.0	0.95793
489.2	0.95546
489.4	0.95562
489.6	0.95676
489.8	0.95893
490.0	0.95999
490.2	0.96049
490.4	0.95821
490.6	0.95486
490.8	0.95128
491.0	0.94767
491.2	0.94469
491.4	0.94395
491.6	0.94482
491.8	0.94758
492.0	0.9508
492.2	0.95349
492.4	0.95601
492.6	0.95631
492.8	0.95708
493.0	0.95575
493.2	0.95551
493.4	0.95555
493.6	0.95732
493.8	0.95854
494.0	0.96138
494.2	0.96482
494.4	0.96645
494.6	0.96606
494.8	0.96572
495.0	0.96416
495.2	0.96159
495.4	0.95897
495.6	0.95772
495.8	0.95834
496.0	0.95856
496.2	0.95982
496.4	0.96179
496.6	0.96144
496.8	0.95948
497.0	0.95774
497.2	0.95491
497.4	0.95097
497.6	0.94798
497.8	0.94682
498.0	0.9467
498.2	0.94839
498.4	0.95197
498.6	0.95479
498.8	0.95704
499.0	0.95853
499.2	0.95876
499.4	0.95754
499.6	0.95631
499.8	0.95457
500.0	0.95445
500.2	0.95468
500.4	0.95642
500.6	0.96029
500.8	0.96383
501.0	0.96652
501.2	0.96963
501.4	0.97086
501.6	0.97001
501.8	0.96848
502.0	0.96541
502.2	0.96369
502.4	0.96141
502.6	0.96075
502.8	0.96203
503.0	0.96373
503.2	0.96622
503.4	0.96701
503.6	0.96751
503.8	0.96541
504.0	0.96202
504.2	0.95722
504.4	0.95383
504.6	0.94997
504.8	0.94677
505.0	0.94636
505.2	0.94698
505.4	0.94857
505.6	0.95098
505.8	0.9534
506.0	0.95441
506.2	0.95482
506.4	0.95463
506.6	0.95472
506.8	0.95389
507.0	0.95467
507.2	0.95617
507.4	0.95923
507.6	0.96211
507.8	0.96553
508.0	0.96895
508.2	0.97042
508.4	0.97004
508.6	0.96933
508.8	0.96845
509.0	0.9669
