Typical Measured Spectrum of Semrock NF03-808E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0	0.01829
345.2	0.02347
345.4	0.04178
345.6	0.08536
345.8	0.11575
346.0	0.09585
346.2	0.127
346.4	0.16958
346.6	0.18412
346.8	0.21209
347.0	0.23202
347.2	0.30726
347.4	0.39127
347.6	0.47187
347.8	0.55054
348.0	0.58279
348.2	0.59814
348.4	0.61441
348.6	0.62776
348.8	0.63913
349.0	0.64841
349.2	0.65557
349.4	0.66234
349.6	0.67014
349.8	0.67689
350.0	0.68338
350.2	0.68751
350.4	0.69402
350.6	0.69873
350.8	0.70516
351.0	0.70876
351.2	0.71263
351.4	0.71856
351.6	0.72153
351.8	0.72704
352.0	0.73077
352.2	0.73232
352.4	0.73662
352.6	0.73974
352.8	0.74463
353.0	0.748
353.2	0.75047
353.4	0.75502
353.6	0.75669
353.8	0.75911
354.0	0.764
354.2	0.76677
354.4	0.76798
354.6	0.77281
354.8	0.77449
355.0	0.77739
355.2	0.78049
355.4	0.78026
355.6	0.78166
355.8	0.7856
356.0	0.78607
356.2	0.78712
356.4	0.79171
356.6	0.7943
356.8	0.79602
357.0	0.79864
357.2	0.79976
357.4	0.79954
357.6	0.80194
357.8	0.80465
358.0	0.80382
358.2	0.80671
358.4	0.81044
358.6	0.8103
358.8	0.81056
359.0	0.81365
359.2	0.81414
359.4	0.81408
359.6	0.81679
359.8	0.81981
360.0	0.81862
360.2	0.82101
360.4	0.82276
360.6	0.81989
360.8	0.81777
361.0	0.82088
361.2	0.8222
361.4	0.81914
361.6	0.81899
361.8	0.82451
362.0	0.82653
362.2	0.82446
362.4	0.82324
362.6	0.82922
362.8	0.83104
363.0	0.82731
363.2	0.82605
363.4	0.82938
363.6	0.83044
363.8	0.82854
364.0	0.82906
364.2	0.83127
364.4	0.83122
364.6	0.83149
364.8	0.8347
365.0	0.83607
365.2	0.83547
365.4	0.83839
365.6	0.83984
365.8	0.83551
366.0	0.83602
366.2	0.83976
366.4	0.84112
366.6	0.84012
366.8	0.83998
367.0	0.84541
367.2	0.84774
367.4	0.84571
367.6	0.84298
367.8	0.84639
368.0	0.84904
368.2	0.84783
368.4	0.846
368.6	0.84796
368.8	0.84962
369.0	0.84984
369.2	0.84852
369.4	0.85012
369.6	0.85363
369.8	0.8557
370.0	0.85457
370.2	0.85446
370.4	0.85677
370.6	0.85664
370.8	0.85393
371.0	0.85264
371.2	0.85462
371.4	0.85787
371.6	0.85907
371.8	0.8609
372.0	0.86405
372.2	0.86858
372.4	0.86861
372.6	0.86417
372.8	0.86137
373.0	0.86374
373.2	0.86556
373.4	0.86432
373.6	0.86273
373.8	0.86417
374.0	0.86711
374.2	0.86884
374.4	0.86751
374.6	0.8671
374.8	0.87017
375.0	0.87103
375.2	0.87031
375.4	0.86793
375.6	0.87162
375.8	0.87604
376.0	0.88055
376.2	0.87876
376.4	0.87695
376.6	0.87646
376.8	0.8809
377.0	0.88332
377.2	0.87878
377.4	0.87697
377.6	0.87735
377.8	0.88322
378.0	0.88536
378.2	0.88455
378.4	0.88008
378.6	0.88104
378.8	0.8862
379.0	0.88898
379.2	0.88796
379.4	0.88652
379.6	0.88807
379.8	0.89245
380.0	0.89576
380.2	0.89385
380.4	0.88954
380.6	0.88974
380.8	0.89347
381.0	0.89534
381.2	0.8935
381.4	0.89143
381.6	0.89352
381.8	0.89939
382.0	0.9017
382.2	0.90063
382.4	0.89766
382.6	0.89639
382.8	0.89972
383.0	0.90232
383.2	0.90194
383.4	0.89896
383.6	0.89882
383.8	0.90401
384.0	0.90944
384.2	0.91147
384.4	0.90683
384.6	0.90272
384.8	0.90455
385.0	0.90829
385.2	0.91106
385.4	0.90925
385.6	0.9063
385.8	0.90693
386.0	0.91159
386.2	0.91326
386.4	0.91202
386.6	0.90732
386.8	0.90643
387.0	0.91234
387.2	0.91904
387.4	0.92224
387.6	0.91826
387.8	0.91524
388.0	0.91359
388.2	0.91727
388.4	0.92133
388.6	0.92075
388.8	0.91742
389.0	0.91651
389.2	0.92176
389.4	0.92613
389.6	0.92599
389.8	0.92191
390.0	0.91531
390.2	0.91641
390.4	0.92314
390.6	0.92866
390.8	0.92946
391.0	0.92623
391.2	0.92162
391.4	0.92253
391.6	0.92718
391.8	0.93015
392.0	0.92522
392.2	0.92083
392.4	0.9193
392.6	0.92597
392.8	0.93003
393.0	0.93017
393.2	0.92465
393.4	0.91979
393.6	0.91952
393.8	0.92588
394.0	0.93182
394.2	0.93411
394.4	0.92977
394.6	0.92208
394.8	0.92135
395.0	0.92898
395.2	0.93552
395.4	0.93861
395.6	0.93202
395.8	0.92457
396.0	0.92521
396.2	0.93122
396.4	0.93783
396.6	0.93841
396.8	0.93427
397.0	0.92794
397.2	0.92817
397.4	0.93324
397.6	0.9417
397.8	0.9426
398.0	0.93614
398.2	0.92915
398.4	0.92802
398.6	0.9346
398.8	0.93893
399.0	0.94241
399.2	0.93821
399.4	0.93296
399.6	0.92944
399.8	0.93309
400.0	0.94104
400.2	0.94261
400.4	0.94093
400.6	0.9338
400.8	0.93137
401.0	0.93599
401.2	0.94287
401.4	0.94411
401.6	0.94215
401.8	0.93527
402.0	0.9304
402.2	0.93374
402.4	0.9419
402.6	0.94692
402.8	0.94579
403.0	0.93856
403.2	0.93049
403.4	0.92887
403.6	0.93565
403.8	0.94247
404.0	0.94836
404.2	0.94351
404.4	0.9344
404.6	0.93092
404.8	0.93272
405.0	0.94065
405.2	0.94679
405.4	0.94573
405.6	0.94002
405.8	0.93313
406.0	0.93151
406.2	0.93743
406.4	0.94432
406.6	0.94608
406.8	0.94227
407.0	0.93512
407.2	0.93047
407.4	0.93388
407.6	0.94091
407.8	0.94753
408.0	0.94565
408.2	0.94261
408.4	0.93561
408.6	0.93284
408.8	0.93671
409.0	0.9425
409.2	0.94688
409.4	0.94392
409.6	0.93785
409.8	0.93456
410.0	0.93567
410.2	0.94184
410.4	0.94554
410.6	0.94832
410.8	0.94393
411.0	0.93695
411.2	0.93326
411.4	0.93625
411.6	0.94219
411.8	0.94771
412.0	0.94488
412.2	0.93928
412.4	0.93332
412.6	0.93132
412.8	0.9352
413.0	0.94298
413.2	0.94848
413.4	0.94684
413.6	0.94006
413.8	0.93308
414.0	0.9299
414.2	0.93407
414.4	0.94118
414.6	0.94511
414.8	0.9451
415.0	0.93973
415.2	0.93602
415.4	0.93404
415.6	0.93662
415.8	0.94313
416.0	0.94571
416.2	0.94287
416.4	0.93729
416.6	0.92998
416.8	0.9286
417.0	0.93066
417.2	0.93813
417.4	0.94407
417.6	0.94281
417.8	0.93905
418.0	0.93204
418.2	0.93053
418.4	0.93352
418.6	0.94018
418.8	0.94388
419.0	0.94411
419.2	0.93945
419.4	0.93352
419.6	0.93013
419.8	0.93329
420.0	0.93742
420.2	0.94418
420.4	0.94496
420.6	0.94219
420.8	0.93661
421.0	0.93447
421.2	0.93379
421.4	0.93895
421.6	0.94207
421.8	0.94316
422.0	0.93993
422.2	0.93708
422.4	0.93424
422.6	0.93771
422.8	0.94266
423.0	0.94607
423.2	0.94703
423.4	0.94276
423.6	0.93571
423.8	0.92805
424.0	0.92571
424.2	0.9306
424.4	0.93718
424.6	0.94205
424.8	0.94331
425.0	0.93879
425.2	0.93169
425.4	0.9271
425.6	0.92764
425.8	0.9339
426.0	0.94095
426.2	0.94445
426.4	0.94417
426.6	0.93853
426.8	0.93195
427.0	0.92867
427.2	0.93014
427.4	0.93648
427.6	0.94228
427.8	0.94582
428.0	0.94329
428.2	0.9384
428.4	0.93459
428.6	0.93336
428.8	0.93654
429.0	0.9412
429.2	0.94439
429.4	0.94498
429.6	0.94087
429.8	0.935
430.0	0.9325
430.2	0.93396
430.4	0.9391
430.6	0.94514
430.8	0.94812
431.0	0.94698
431.2	0.94235
431.4	0.93722
431.6	0.93423
431.8	0.93673
432.0	0.9408
432.2	0.94727
432.4	0.94946
432.6	0.94755
432.8	0.94365
433.0	0.9389
433.2	0.93627
433.4	0.9389
433.6	0.94423
433.8	0.94903
434.0	0.95047
434.2	0.94767
434.4	0.94263
434.6	0.93726
434.8	0.93725
435.0	0.93933
435.2	0.94306
435.4	0.94801
435.6	0.94993
435.8	0.94704
436.0	0.94305
436.2	0.93828
436.4	0.93764
436.6	0.94009
436.8	0.94392
437.0	0.94904
437.2	0.95063
437.4	0.94843
437.6	0.94365
437.8	0.93914
438.0	0.93847
438.2	0.94027
438.4	0.94509
438.6	0.94893
438.8	0.9512
439.0	0.94836
439.2	0.94327
439.4	0.93812
439.6	0.93659
439.8	0.93902
440.0	0.94312
440.2	0.94806
440.4	0.95108
440.6	0.94931
440.8	0.94566
441.0	0.94107
441.2	0.93871
441.4	0.9399
441.6	0.94523
441.8	0.95085
442.0	0.95443
442.2	0.95273
442.4	0.94956
442.6	0.94388
442.8	0.93903
443.0	0.93976
443.2	0.94377
443.4	0.94991
443.6	0.95551
443.8	0.95751
444.0	0.95534
444.2	0.95049
444.4	0.946
444.6	0.94417
444.8	0.94482
445.0	0.94907
445.2	0.95392
445.4	0.95652
445.6	0.95553
445.8	0.95135
446.0	0.94604
446.2	0.94374
446.4	0.94368
446.6	0.94813
446.8	0.95509
447.0	0.95906
447.2	0.96084
447.4	0.95778
447.6	0.95221
447.8	0.94553
448.0	0.94123
448.2	0.94299
448.4	0.94783
448.6	0.95448
448.8	0.95855
449.0	0.96082
449.2	0.95779
449.4	0.95426
449.6	0.94935
449.8	0.94902
450.0	0.95082
450.2	0.95496
450.4	0.95815
450.6	0.96016
450.8	0.95738
451.0	0.95133
451.2	0.94532
451.4	0.94225
451.6	0.94095
451.8	0.94574
452.0	0.95271
452.2	0.95924
452.4	0.96136
452.6	0.95908
452.8	0.9531
453.0	0.94663
453.2	0.94139
453.4	0.94099
453.6	0.94413
453.8	0.95158
454.0	0.95987
454.2	0.96486
454.4	0.96532
454.6	0.96304
454.8	0.9568
455.0	0.95233
455.2	0.94928
455.4	0.95047
455.6	0.95497
455.8	0.95979
456.0	0.96178
456.2	0.96187
456.4	0.95927
456.6	0.95583
456.8	0.95426
457.0	0.95443
457.2	0.95788
457.4	0.96284
457.6	0.96773
457.8	0.96906
458.0	0.96735
458.2	0.96069
458.4	0.95547
458.6	0.95002
458.8	0.94803
459.0	0.94945
459.2	0.95388
459.4	0.95889
459.6	0.96287
459.8	0.96311
460.0	0.96174
460.2	0.95863
460.4	0.95548
460.6	0.95447
460.8	0.9559
461.0	0.96027
461.2	0.96388
461.4	0.96646
461.6	0.96601
461.8	0.96237
462.0	0.95843
462.2	0.9552
462.4	0.95298
462.6	0.95441
462.8	0.95756
463.0	0.96313
463.2	0.9658
463.4	0.96564
463.6	0.96247
463.8	0.95677
464.0	0.95135
464.2	0.94846
464.4	0.94867
464.6	0.95388
464.8	0.95915
465.0	0.96689
465.2	0.97053
465.4	0.97104
465.6	0.96826
465.8	0.96195
466.0	0.9561
466.2	0.95312
466.4	0.95305
466.6	0.95683
466.8	0.96223
467.0	0.96781
467.2	0.96996
467.4	0.96949
467.6	0.96551
467.8	0.95995
468.0	0.95711
468.2	0.95562
468.4	0.95294
468.6	0.95231
468.8	0.95459
469.0	0.95967
469.2	0.96461
469.4	0.96658
469.6	0.96654
469.8	0.96397
470.0	0.95909
470.2	0.95589
470.4	0.95419
470.6	0.95538
470.8	0.95782
471.0	0.9617
471.2	0.96523
471.4	0.96758
471.6	0.96643
471.8	0.96426
472.0	0.96067
472.2	0.95747
472.4	0.95663
472.6	0.95798
472.8	0.96119
473.0	0.96503
473.2	0.96715
473.4	0.9674
473.6	0.96623
473.8	0.96256
474.0	0.95966
474.2	0.95828
474.4	0.95821
474.6	0.96109
474.8	0.96409
475.0	0.9675
475.2	0.96972
475.4	0.96893
475.6	0.96663
475.8	0.96266
476.0	0.95862
476.2	0.95667
476.4	0.95763
476.6	0.96024
476.8	0.96463
477.0	0.96913
477.2	0.97155
477.4	0.97187
477.6	0.97016
477.8	0.96608
478.0	0.96147
478.2	0.95801
478.4	0.95796
478.6	0.95983
478.8	0.96329
479.0	0.96689
479.2	0.97024
479.4	0.9707
479.6	0.96842
479.8	0.96527
480.0	0.96121
480.2	0.95885
480.4	0.9583
480.6	0.96098
480.8	0.96501
481.0	0.96842
481.2	0.97251
481.4	0.97433
481.6	0.97271
481.8	0.96825
482.0	0.9627
482.2	0.95888
482.4	0.95654
482.6	0.95585
482.8	0.95872
483.0	0.96399
483.2	0.96817
483.4	0.97138
483.6	0.97194
483.8	0.97019
484.0	0.96562
484.2	0.96108
484.4	0.95693
484.6	0.95488
484.8	0.95582
485.0	0.95776
485.2	0.96021
485.4	0.96282
485.6	0.96435
485.8	0.9629
486.0	0.96063
486.2	0.9577
486.4	0.9552
486.6	0.95387
486.8	0.95539
487.0	0.95844
487.2	0.9623
487.4	0.96593
487.6	0.96741
487.8	0.96667
488.0	0.96503
488.2	0.96134
488.4	0.95635
488.6	0.95481
488.8	0.95404
489.0	0.95614
489.2	0.95944
489.4	0.96457
489.6	0.96857
489.8	0.97018
490.0	0.96967
490.2	0.9673
490.4	0.96289
490.6	0.9585
490.8	0.95512
491.0	0.95283
491.2	0.95499
491.4	0.95767
491.6	0.96136
491.8	0.965
492.0	0.96624
492.2	0.96573
492.4	0.96324
492.6	0.95966
492.8	0.9563
493.0	0.95438
493.2	0.95434
493.4	0.95567
493.6	0.95951
493.8	0.96271
494.0	0.96609
494.2	0.9682
494.4	0.9662
494.6	0.96359
494.8	0.95988
495.0	0.95618
495.2	0.95421
495.4	0.954
495.6	0.95688
495.8	0.96062
496.0	0.96499
496.2	0.96977
496.4	0.97175
496.6	0.9706
496.8	0.96769
497.0	0.96392
497.2	0.95962
497.4	0.9558
497.6	0.95473
497.8	0.95521
498.0	0.95796
498.2	0.96059
498.4	0.96313
498.6	0.9652
498.8	0.96459
499.0	0.96173
499.2	0.9575
499.4	0.95321
499.6	0.95097
499.8	0.95013
500.0	0.95098
500.2	0.95072
500.4	0.95423
500.6	0.95875
500.8	0.9633
501.0	0.96659
501.2	0.96767
501.4	0.96641
501.6	0.96343
501.8	0.95855
502.0	0.95491
502.2	0.95165
502.4	0.95012
502.6	0.95194
502.8	0.95418
503.0	0.95774
503.2	0.96089
503.4	0.96305
503.6	0.96232
503.8	0.96103
504.0	0.95796
504.2	0.95512
504.4	0.9528
504.6	0.95189
504.8	0.95256
505.0	0.95509
505.2	0.95897
505.4	0.96145
505.6	0.96438
505.8	0.965
506.0	0.96318
506.2	0.96056
506.4	0.95623
506.6	0.95257
506.8	0.95021
507.0	0.94962
507.2	0.95131
507.4	0.9542
507.6	0.95805
507.8	0.96216
508.0	0.96456
508.2	0.96515
508.4	0.96385
508.6	0.96117
508.8	0.95757
509.0	0.9535
